team_id,opp_team_id,game_id,game_dt,result,team_goals,opp_goals,points_earned,mins
NEW,ARS,9,2019-08-11T08:00:00Z,L,0,1,0,60
NEW,NOR,15,2019-08-17T09:00:00Z,L,0,1,0,60
NEW,TOT,29,2019-08-25T10:30:00Z,W,1,0,3,60
NEW,WAT,36,2019-08-31T09:00:00Z,D,1,1,1,60
NEW,LIV,41,2019-09-14T06:30:00Z,L,1,2,0,60
NEW,BHA,56,2019-09-21T11:30:00Z,D,0,0,1,60
NEW,LC,69,2019-09-29T10:30:00Z,L,0,3,0,60
NEW,MU,80,2019-10-06T10:30:00Z,D,0,0,1,60
NEW,CHE,84,2019-10-19T09:00:00Z,D,0,0,1,60
NEW,WOL,97,2019-10-27T09:00:00Z,W,1,0,3,60
NEW,WHU,107,2019-11-02T10:00:00Z,W,3,0,3,60
NEW,BOU,114,2019-11-09T09:00:00Z,W,2,1,3,60
NEW,AVL,130,2019-11-25T14:00:00Z,L,0,2,0,60
NEW,MC,131,2019-11-30T06:30:00Z,D,1,1,1,60
NEW,SHU,149,2019-12-05T13:30:00Z,W,1,0,3,60
NEW,SOU,157,2019-12-08T08:00:00Z,L,0,1,0,60
NEW,BUR,162,2019-12-14T09:00:00Z,L,0,1,0,60
NEW,CP,175,2019-12-21T09:00:00Z,D,0,0,1,60
NEW,MU,187,2019-12-26T11:30:00Z,L,1,4,0,60
NEW,EVE,191,2019-12-28T09:00:00Z,D,1,1,1,60
NEW,LC,202,2020-01-01T09:00:00Z,L,0,2,0,60
NEW,WOL,216,2020-01-11T09:00:00Z,D,1,1,1,60
NEW,CHE,227,2020-01-18T11:30:00Z,D,0,0,1,60
NEW,EVE,232,2020-01-21T13:30:00Z,L,0,2,0,60
NEW,NOR,245,2020-02-01T09:00:00Z,D,0,0,1,60
NEW,ARS,258,2020-02-16T10:30:00Z,L,0,2,0,60
NEW,CP,263,2020-02-22T09:00:00Z,L,0,1,0,60
NEW,BUR,274,2020-02-29T09:00:00Z,D,0,0,1,60
NEW,SOU,283,2020-03-07T09:00:00Z,D,0,0,1,60
NOR,LIV,1,2019-08-09T14:00:00Z,L,0,4,0,60
NOR,NEW,15,2019-08-17T09:00:00Z,W,1,0,3,60
NOR,CHE,22,2019-08-24T06:30:00Z,D,2,2,1,60
NOR,WHU,37,2019-08-31T09:00:00Z,L,0,2,0,60
NOR,MC,47,2019-09-14T11:30:00Z,W,3,1,3,60
NOR,BUR,53,2019-09-21T09:00:00Z,L,0,2,0,60
NOR,CP,65,2019-09-28T09:00:00Z,L,0,1,0,60
NOR,AVL,74,2019-10-05T09:00:00Z,L,0,3,0,60
NOR,BOU,82,2019-10-19T09:00:00Z,D,0,0,1,60
NOR,MU,100,2019-10-27T11:30:00Z,L,0,2,0,60
NOR,BHA,104,2019-11-02T10:00:00Z,D,0,0,1,60
NOR,WAT,111,2019-11-08T14:00:00Z,L,0,2,0,60
NOR,EVE,126,2019-11-23T09:00:00Z,W,1,0,3,60
NOR,ARS,137,2019-12-01T08:00:00Z,D,2,2,1,60
NOR,SOU,147,2019-12-04T13:30:00Z,L,0,2,0,60
NOR,SHU,158,2019-12-08T08:00:00Z,L,1,2,0,60
NOR,LC,164,2019-12-14T09:00:00Z,D,1,1,1,60
NOR,WOL,176,2019-12-21T09:00:00Z,D,1,1,1,60
NOR,AVL,182,2019-12-26T09:00:00Z,D,0,0,1,60
NOR,TOT,194,2019-12-28T11:30:00Z,D,1,1,1,60
NOR,CP,206,2020-01-01T11:30:00Z,W,1,0,3,60
NOR,MU,215,2020-01-11T09:00:00Z,L,0,3,0,60
NOR,BOU,224,2020-01-18T09:00:00Z,W,1,0,3,60
NOR,TOT,237,2020-01-22T13:30:00Z,L,0,1,0,60
NOR,NEW,245,2020-02-01T09:00:00Z,D,0,0,1,60
NOR,LIV,256,2020-02-15T11:30:00Z,D,0,0,1,60
NOR,WOL,268,2020-02-23T08:00:00Z,L,0,3,0,60
NOR,LC,271,2020-02-28T14:00:00Z,D,0,0,1,60
NOR,SHU,282,2020-03-07T09:00:00Z,L,0,1,0,60
SHU,BOU,3,2019-08-10T09:00:00Z,D,0,0,1,60
SHU,CP,18,2019-08-18T08:00:00Z,W,1,0,3,60
SHU,LC,25,2019-08-24T09:00:00Z,L,0,1,0,60
SHU,CHE,32,2019-08-31T09:00:00Z,L,1,2,0,60
SHU,SOU,44,2019-09-14T09:00:00Z,D,0,0,1,60
SHU,EVE,54,2019-09-21T09:00:00Z,W,1,0,3,60
SHU,LIV,61,2019-09-28T06:30:00Z,D,0,0,1,60
SHU,WAT,75,2019-10-05T09:00:00Z,D,0,0,1,60
SHU,ARS,90,2019-10-21T14:00:00Z,W,1,0,3,60
SHU,WHU,95,2019-10-26T09:00:00Z,L,0,1,0,60
SHU,BUR,106,2019-11-02T10:00:00Z,W,3,0,3,60
SHU,TOT,116,2019-11-09T09:00:00Z,L,0,1,0,60
SHU,MU,129,2019-11-24T10:30:00Z,W,2,0,3,60
SHU,WOL,138,2019-12-01T08:00:00Z,W,1,0,3,60
SHU,NEW,149,2019-12-05T13:30:00Z,L,0,1,0,60
